model,arm,phase3_type,image_idx,y_true,k_corr,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_low_freq_rand
robust,E_rand,random_sub,154,0,4,9.217551827363158,201,blur,9.215649327605854,9.220570289132555,0.00020639968105800517,5,1325,,9.217551827363158,14.878578287120373,14.224586152235016,,,,10.427508214781339,
robust,E_corr,corrupt_sub,154,0,4,9.217551827363158,201,blur,8.28668175748494,8.309481950625365,0.1009888620441323,17,1324,,9.217551827363158,14.878578287120373,14.224586152235016,,,,10.427508214781339,
standard,C_full,pixel,155,5,8,2.9448577567172878,350,jpeg,2.9448577567172878,2.9636452865756855,0.0,6,1176,2.9448577567172878,3.5912194254579046,16.485372877037896,14.336215827946635,14.336228222033801,,8.989495917323246,3.4011079586421613,9.970776939340418
standard,E_rand,random_sub,155,5,8,2.9448577567172878,350,jpeg,2.9448577567172878,2.9831341381838525,0.0,7,1176,2.9448577567172878,3.5912194254579046,16.485372877037896,14.336215827946635,14.336228222033801,,8.989495917323246,3.4011079586421613,9.970776939340418
standard,E_corr,corrupt_sub,155,5,8,2.9448577567172878,350,jpeg,2.816102836696727,2.816102836696727,0.043721948785766636,15,1163,2.9448577567172878,3.5912194254579046,16.485372877037896,14.336215827946635,14.336228222033801,,8.989495917323246,3.4011079586421613,9.970776939340418
robust,C_full,pixel,155,5,5,7.014002964113804,246,blur,7.014002964113804,7.0433492744723045,0.0,2,1280,,7.014002964113804,11.637046028490202,12.237288990598765,12.237248865713953,,,7.6431644213618215,
robust,E_rand,random_sub,155,5,5,7.014002964113804,246,blur,7.014002964113804,7.057115513206557,0.0,2,1280,,7.014002964113804,11.637046028490202,12.237288990598765,12.237248865713953,,,7.6431644213618215,
robust,E_corr,corrupt_sub,155,5,5,7.014002964113804,246,blur,6.835438501819354,6.878121642964515,0.025458281555917686,14,1277,,7.014002964113804,11.637046028490202,12.237288990598765,12.237248865713953,,,7.6431644213618215,
standard,C_full,pixel,156,2,5,3.483492041609311,247,jpeg,3.483492041609311,3.5138400407014476,0.0,3,1279,3.483492041609311,4.402519915447731,21.30022281883401,8.984600588273855,,,,4.794350300936193,
standard,E_rand,random_sub,156,2,5,3.483492041609311,247,jpeg,3.4825744761647415,3.4825861784810237,0.0002634039158435307,15,1277,3.483492041609311,4.402519915447731,21.30022281883401,8.984600588273855,,,,4.794350300936193,
standard,E_corr,corrupt_sub,156,2,5,3.483492041609311,247,jpeg,3.483492041609311,3.7759534748745573,0.0,14,1270,3.483492041609311,4.402519915447731,21.30022281883401,8.984600588273855,,,,4.794350300936193,
robust,C_full,pixel,156,2,4,6.27358487515468,222,jpeg,5.761077174013919,5.761077174013919,0.08169295727080197,13,1287,6.27358487515468,6.826157539861923,15.556589273238899,8.667064098966408,,,,,
robust,E_rand,random_sub,156,2,4,6.27358487515468,222,jpeg,6.270323167301839,6.270323167317588,0.0005199113294470418,17,1297,6.27358487515468,6.826157539861923,15.556589273238899,8.667064098966408,,,,,
robust,E_corr,corrupt_sub,156,2,4,6.27358487515468,222,jpeg,6.117532814723089,6.124826246016523,0.02487446388899673,15,1279,6.27358487515468,6.826157539861923,15.556589273238899,8.667064098966408,,,,,
standard,C_full,pixel,157,2,7,1.262305090614164,303,blur,1.17535413126447,1.1757488530655595,0.06888268137094238,15,1224,1.3150356344823153,1.262305090614164,13.902001547278267,2.7849798621300317,,,6.035088462575893,2.5196121590217095,1.656932412270055
standard,E_rand,random_sub,157,2,7,1.262305090614164,303,blur,1.2602883992404412,1.2602883992404412,0.0015976259532800665,24,1209,1.3150356344823153,1.262305090614164,13.902001547278267,2.7849798621300317,,,6.035088462575893,2.5196121590217095,1.656932412270055
standard,E_corr,corrupt_sub,157,2,7,1.262305090614164,303,blur,1.1388797137600721,1.1406317773531642,0.09777777002708612,16,1218,1.3150356344823153,1.262305090614164,13.902001547278267,2.7849798621300317,,,6.035088462575893,2.5196121590217095,1.656932412270055
