model,arm,image_idx,y_true,k_total,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_sharpen,p1_saturation,p1_gamma
standard,E_full_k14,114,2,14,1.7761046627963464,351,fractal_random,1.1897478778621853,1.1897478778621853,0.3301363918559762,18,1176,2.028082595180713,2.0270328003732043,17.13058211058373,8.298027441090847,,,6.667246135585977,1.7761046627963464,10.593107351035949,9.594623679681918,
standard,E_full_k14_lam28,114,2,14,1.7761046627963464,351,fractal_random,1.4875874078606048,1.5010882754236,0.16244383621035727,13,1160,2.028082595180713,2.0270328003732043,17.13058211058373,8.298027441090847,,,6.667246135585977,1.7761046627963464,10.593107351035949,9.594623679681918,
robust,E_sep_k14,114,2,14,6.16111295709169,316,blur,6.16111295709169,6.2056255738321315,0.0,2,1210,6.279542572251176,6.16111295709169,11.064141263543068,8.181633819835,,,,,,18.01321263385251,20.83092991993797
robust,E_full_k14,114,2,14,6.16111295709169,316,blur,4.544240125742623,4.707903128080974,0.2624319408862616,15,1184,6.279542572251176,6.16111295709169,11.064141263543068,8.181633819835,,,,,,18.01321263385251,20.83092991993797
robust,E_full_k14_lam28,114,2,14,6.16111295709169,316,blur,6.16111295709169,6.283689991527576,0.0,6,1210,6.279542572251176,6.16111295709169,11.064141263543068,8.181633819835,,,,,,18.01321263385251,20.83092991993797
standard,E_sep_k14,115,4,14,2.248400643975329,353,jpeg,2.2266769644433797,2.254727061140616,0.009661836554867782,12,1172,2.248400643975329,2.373388758738318,21.755995874498332,11.087977917163084,11.08781738892692,,13.107421705026916,3.128249107451333,13.183696203675005,,
standard,E_full_k14,115,4,14,2.248400643975329,353,jpeg,2.1886879072589194,2.261296324090197,0.02655787209295277,13,1151,2.248400643975329,2.373388758738318,21.755995874498332,11.087977917163084,11.08781738892692,,13.107421705026916,3.128249107451333,13.183696203675005,,
standard,E_full_k14_lam28,115,4,14,2.248400643975329,353,jpeg,2.202684765474431,2.3875955644029814,0.020332621156018218,10,1150,2.248400643975329,2.373388758738318,21.755995874498332,11.087977917163084,11.08781738892692,,13.107421705026916,3.128249107451333,13.183696203675005,,
robust,E_sep_k14,115,4,14,8.414279030740609,269,fractal_random,7.347208638923433,7.388279378480332,0.1268166158881535,17,1248,,,11.83212478123215,10.41786280879972,10.417800610999686,,11.11065171098965,8.414279030740609,14.604388462952897,,
robust,E_full_k14,115,4,14,8.414279030740609,269,fractal_random,6.151194520023182,6.151194520023182,0.2689576257751265,22,1238,,,11.83212478123215,10.41786280879972,10.417800610999686,,11.11065171098965,8.414279030740609,14.604388462952897,,
