model,arm,phase1_type,phase3_cfg,image_idx,y_true,phase1_l2_uniform,phase1_l2,phase1_queries,winning_corruption,jpeg_l2,blur_l2,fractal_l2,best_l2,final_l2,IR_phase3,IR_total,n_gens,queries_phase3
robust,D,corruption,lam14_xi0.75_tau3,116,1,9.292814045280995,6.90612263236469,140,blur,7.412888404397927,6.90612263236469,8.126002361730588,6.90612263236469,6.925001579961145,0.0,0.25683193500770585,3,1386
standard,A,uniform,lam28_xi1.0_tau3,117,8,4.898183411753225,4.898183411753225,27,,,,,4.898183411753225,4.953771821759379,0.0,0.0,5,1499
standard,B,uniform,lam14_xi0.75_tau3,117,8,4.898183411753225,4.898183411753225,27,,,,,4.138090284218624,4.138090284218624,0.15517857614534245,0.15517857614534245,9,1499
standard,C,corruption,lam28_xi1.0_tau3,117,8,4.898183411753225,2.900909921230105,139,blur,4.516243605798412,2.900909921230105,6.577319857272757,2.8964628953155627,2.8964628953155627,0.0015329762161855262,0.40866589675562576,20,1387
standard,D,corruption,lam14_xi0.75_tau3,117,8,4.898183411753225,2.900909921230105,139,blur,4.516243605798412,2.900909921230105,6.577319857272757,2.894358862374293,2.9028905517145156,0.002258277241864263,0.40909545048287516,25,1387
robust,A,uniform,lam28_xi1.0_tau3,117,8,6.328363512690871,6.328363512690871,27,,,,,6.101297519020094,6.103724535336124,0.035880681192763234,0.035880681192763234,13,1499
robust,B,uniform,lam14_xi0.75_tau3,117,8,6.328363512690871,6.328363512690871,27,,,,,6.2648688467822735,6.27029844106645,0.010033346817271983,0.010033346817271983,6,1499
robust,C,corruption,lam28_xi1.0_tau3,117,8,6.328363512690871,7.293949784012274,49,fractal,,,7.293949784012274,6.534561054514513,6.5627642502263335,0.10411214115598624,-0.0325830748202335,17,1478
robust,D,corruption,lam14_xi0.75_tau3,117,8,6.328363512690871,7.293949784012274,49,fractal,,,7.293949784012274,7.150129550776452,7.173584300140825,0.019717743814341084,-0.12985443020736961,6,1477
standard,A,uniform,lam28_xi1.0_tau3,118,9,8.092910059620904,8.092910059620904,27,,,,,6.840275986816424,6.840275986816424,0.15478166241515806,0.15478166241515806,8,1499
standard,B,uniform,lam14_xi0.75_tau3,118,9,8.092910059620904,8.092910059620904,27,,,,,7.598240300137968,7.598240300137968,0.06112384245452829,0.06112384245452829,9,1499
standard,C,corruption,lam28_xi1.0_tau3,118,9,8.092910059620904,3.766585741557926,92,blur,,3.766585741557926,6.013196674504178,3.764651406750531,3.778663566984822,0.0005135512477660862,0.5348210496575223,3,1434
standard,D,corruption,lam14_xi0.75_tau3,118,9,8.092910059620904,3.766585741557926,92,blur,,3.766585741557926,6.013196674504178,3.766585741557926,3.7903285963690005,0.0,0.5345820336801861,3,1434
robust,A,uniform,lam28_xi1.0_tau3,118,9,11.844018790364116,11.844018790364116,27,,,,,11.802405907813148,11.94406586062483,0.0035134090284306935,0.0035134090284306935,12,1492
robust,B,uniform,lam14_xi0.75_tau3,118,9,11.844018790364116,11.844018790364116,27,,,,,11.745941982354067,11.75897261412984,0.008280703513391994,0.008280703513391994,15,1473
robust,C,corruption,lam28_xi1.0_tau3,118,9,11.844018790364116,8.59448772722012,98,blur,,8.59448772722012,11.544070540397339,8.584138408393454,8.584138408393454,0.0012041810000947666,0.27523431359487444,21,1428
robust,D,corruption,lam14_xi0.75_tau3,118,9,11.844018790364116,8.59448772722012,98,blur,,8.59448772722012,11.544070540397339,8.583253238862245,8.583253238862245,0.0013071737041747782,0.2753090491678987,26,1428
standard,A,uniform,lam28_xi1.0_tau3,119,1,1.1365270086662935,1.1365270086662935,27,,,,,0.575750303217192,0.5759671215718052,0.4934125640420715,0.4934125640420715,18,1499
standard,B,uniform,lam14_xi0.75_tau3,119,1,1.1365270086662935,1.1365270086662935,27,,,,,1.127380354253399,1.1294206181298305,0.008047898856031546,0.008047898856031546,4,1499
standard,C,corruption,lam28_xi1.0_tau3,119,1,1.1365270086662935,0.7056497596316911,126,fractal,1.099014601790549,1.8134092958011439,0.7056497596316911,0.7056497596316911,0.7131488927480893,0.0,0.3791174743310622,3,1400
standard,D,corruption,lam14_xi0.75_tau3,119,1,1.1365270086662935,0.7056497596316911,126,fractal,1.099014601790549,1.8134092958011439,0.7056497596316911,0.5889061428232162,0.5889061428232162,0.16544130457779566,0.481837089367288,20,1390
robust,A,uniform,lam28_xi1.0_tau3,119,1,7.6837384372398505,7.6837384372398505,27,,,,,7.508126570186429,7.508540077662268,0.02285500326277441,0.02285500326277441,13,1499
robust,B,uniform,lam14_xi0.75_tau3,119,1,7.6837384372398505,7.6837384372398505,27,,,,,7.661201885177355,7.670389989992911,0.002933019160734394,0.002933019160734394,8,1499
robust,C,corruption,lam28_xi1.0_tau3,119,1,7.6837384372398505,4.187973586327117,143,blur,4.674845681076376,4.187973586327117,6.060667779324555,4.176852210501758,4.176852210501758,0.0026555506132293835,0.4564036445777083,18,1375
robust,D,corruption,lam14_xi0.75_tau3,119,1,7.6837384372398505,4.187973586327117,143,blur,4.674845681076376,4.187973586327117,6.060667779324555,4.1312256872585555,4.1312256872585555,0.01355020462732426,0.46234170762031135,25,1378
standard,A,uniform,lam28_xi1.0_tau3,120,2,2.6976079322648654,2.6976079322648654,35,,,,,2.13305197780006,2.1363003032638503,0.209280209963949,0.209280209963949,10,1491
standard,B,uniform,lam14_xi0.75_tau3,120,2,2.6976079322648654,2.6976079322648654,35,,,,,2.183273600534567,2.184285462003885,0.1906631151171297,0.1906631151171297,12,1491
standard,C,corruption,lam28_xi1.0_tau3,120,2,2.6976079322648654,0.730655273921162,126,fractal,1.4752818140910477,1.5801767329366085,0.730655273921162,0.7302129325051339,0.7302417478244299,0.0006054037133740006,0.7293109484994509,4,1400
standard,D,corruption,lam14_xi0.75_tau3,120,2,2.6976079322648654,0.730655273921162,126,fractal,1.4752818140910477,1.5801767329366085,0.730655273921162,0.6851440901573423,0.6851480047823724,0.06228817526982,0.7460179138848739,22,1400
robust,C,corruption,lam28_xi1.0_tau3,120,2,,5.1348808025064345,92,fractal,,8.350890322859964,5.1348808025064345,4.892619968562619,4.950053607231476,0.04717944646846779,,14,1416
robust,D,corruption,lam14_xi0.75_tau3,120,2,,5.1348808025064345,92,fractal,,8.350890322859964,5.1348808025064345,4.978422606265827,4.994141888701116,0.030469684157855673,,16,1425
standard,A,uniform,lam28_xi1.0_tau3,121,9,5.284162756680203,5.284162756680203,27,,,,,3.712920245086059,3.712920245086059,0.29734937850046156,0.29734937850046156,22,1480
standard,B,uniform,lam14_xi0.75_tau3,121,9,5.284162756680203,5.284162756680203,27,,,,,3.298248174351751,3.3129856598296112,0.3758238861620741,0.3758238861620741,26,1500
standard,C,corruption,lam28_xi1.0_tau3,121,9,5.284162756680203,3.795984390619116,136,blur,7.477546160619918,3.795984390619116,5.06657899347244,3.795984390619116,3.8018105911916953,0.0,0.2816299259858607,2,1390
standard,D,corruption,lam14_xi0.75_tau3,121,9,5.284162756680203,3.795984390619116,136,blur,7.477546160619918,3.795984390619116,5.06657899347244,2.982223951298672,2.9833474452157307,0.21437402148740697,0.4356298076684779,9,1390
robust,A,uniform,lam28_xi1.0_tau3,121,9,10.054749357564297,10.054749357564297,27,,,,,9.604937455991195,9.604937455991195,0.044736261996894476,0.044736261996894476,14,1499
robust,B,uniform,lam14_xi0.75_tau3,121,9,10.054749357564297,10.054749357564297,27,,,,,9.611645190719415,9.611645190719415,0.04406914096884281,0.04406914096884281,18,1500
robust,C,corruption,lam28_xi1.0_tau3,121,9,10.054749357564297,6.467169114457167,98,blur,,6.467169114457167,11.315421088480225,6.446422519669059,6.446422519669059,0.0032079870529022015,0.35886790506425253,21,1426
robust,D,corruption,lam14_xi0.75_tau3,121,9,10.054749357564297,6.467169114457167,98,blur,,6.467169114457167,11.315421088480225,6.453896316786023,6.453896316786023,0.0020523350226721343,0.35812459492780035,25,1425
standard,A,uniform,lam28_xi1.0_tau3,122,7,5.247919095471431,5.247919095471431,27,,,,,3.5032443322371862,3.50810703892211,0.3324507736294508,0.3324507736294508,15,1499
standard,B,uniform,lam14_xi0.75_tau3,122,7,5.247919095471431,5.247919095471431,27,,,,,2.557909100989615,2.557909100989615,0.5125860261075856,0.5125860261075856,26,1499
standard,C,corruption,lam28_xi1.0_tau3,122,7,5.247919095471431,3.342214207969651,137,blur,3.658817854714567,3.342214207969651,4.883897104220244,3.342214207969651,3.359099715083327,0.0,0.36313534047166685,2,1389
standard,D,corruption,lam14_xi0.75_tau3,122,7,5.247919095471431,3.342214207969651,137,blur,3.658817854714567,3.342214207969651,4.883897104220244,3.3124953168213995,3.3178597283827225,0.008891976785146085,0.3687983262394728,27,1390
robust,A,uniform,lam28_xi1.0_tau3,122,7,7.2714171879927765,7.2714171879927765,27,,,,,7.260899487548419,7.281629866603538,0.0014464443687436223,0.0014464443687436223,14,1498
